goos: linux
goarch: amd64
pkg: github.com/victorzhuk/go-lispico/internal/goldset
cpu: AMD EPYC 7763 64-Core Processor                
,internal/perfgate/testdata/profile-30630796967/bench-evaluator.txt,,internal/perfgate/testdata/profile-30630796967/bench-vm.txt,,,
,sec/op,CI,sec/op,CI,vs base,P
Goldset/counter-closure-2,1.21495e-05,1%,8.389500000000002e-06,0%,-30.95%,p=0.000 n=10
Goldset/guard-nil-2,5.179000000000001e-06,1%,5.17e-06,1%,~,p=0.424 n=10
Goldset/kw-lookup-2,6.2075e-06,1%,4.853000000000001e-06,1%,-21.82%,p=0.000 n=10
Goldset/loop-sum-2,0.0002229935,2%,1.4805000000000001e-05,1%,-93.36%,p=0.000 n=10
Goldset/merge-config-2,1.1889000000000001e-05,1%,9.3065e-06,1%,-21.72%,p=0.000 n=10
Goldset/pipeline-2,3.12215e-05,1%,1.7597500000000002e-05,1%,-43.64%,p=0.000 n=10
Goldset/queue-promote-2,0.000114457,2%,3.93415e-05,3%,-65.63%,p=0.000 n=10
Goldset/registry-fold-2,1.76325e-05,1%,1.2063000000000001e-05,1%,-31.59%,p=0.000 n=10
Goldset/route-decision-2,9.8045e-06,1%,6.9045000000000006e-06,1%,-29.58%,p=0.000 n=10
Goldset/rule-load-2,2.3097e-05,1%,2.1627500000000003e-05,1%,-6.36%,p=0.000 n=10
Goldset/safe-parse-2,1.5978500000000003e-05,1%,9.267000000000001e-06,1%,-42.00%,p=0.000 n=10
Goldset/text-render-2,7.59e-06,1%,5.5255e-06,1%,-27.20%,p=0.000 n=10
Goldset/twice-macro-2,8.839499999999999e-06,1%,6.924500000000001e-06,0%,-21.66%,p=0.000 n=10
GoldsetParse/counter-closure-2,5.127e-06,1%,5.1185e-06,1%,~,p=0.926 n=10
GoldsetParse/guard-nil-2,3.096e-06,1%,3.0840000000000005e-06,1%,~,p=0.343 n=10
GoldsetParse/kw-lookup-2,2.8635e-06,1%,2.845e-06,1%,~,p=0.210 n=10
GoldsetParse/loop-sum-2,3.056e-06,1%,3.046e-06,0%,~,p=0.271 n=10
GoldsetParse/merge-config-2,5.417e-06,2%,5.445e-06,1%,~,p=0.196 n=10
GoldsetParse/pipeline-2,4.880000000000001e-06,1%,4.8675e-06,1%,~,p=0.566 n=10
GoldsetParse/queue-promote-2,4.7505e-06,1%,4.745e-06,1%,~,p=0.912 n=10
GoldsetParse/registry-fold-2,6.2520000000000004e-06,1%,6.236000000000001e-06,1%,~,p=0.271 n=10
GoldsetParse/route-decision-2,4.700000000000001e-06,0%,4.7130000000000004e-06,2%,~,p=0.224 n=10
GoldsetParse/rule-load-2,1.4623500000000002e-05,1%,1.46725e-05,1%,~,p=0.753 n=10
GoldsetParse/safe-parse-2,6.386500000000001e-06,1%,6.437e-06,1%,+0.79%,p=0.041 n=10
GoldsetParse/text-render-2,3.1655000000000004e-06,1%,3.1655000000000004e-06,1%,~,p=0.541 n=10
GoldsetParse/twice-macro-2,4.0565e-06,1%,4.0585e-06,1%,~,p=0.839 n=10
geomean,9.143085865355098e-06,,6.95260409228853e-06,,-23.96%,

,internal/perfgate/testdata/profile-30630796967/bench-evaluator.txt,,internal/perfgate/testdata/profile-30630796967/bench-vm.txt,,,
,B/op,CI,B/op,CI,vs base,P
Goldset/counter-closure-2,3656.5,0%,1970,0%,-46.12%,p=0.000 n=10
Goldset/guard-nil-2,1128,0%,1129,0%,+0.09%,p=0.000 n=10
Goldset/kw-lookup-2,1544,0%,1209,0%,-21.70%,p=0.000 n=10
Goldset/loop-sum-2,17413,0%,1554,0%,-91.08%,p=0.000 n=10
