goos: linux
goarch: amd64
pkg: github.com/victorzhuk/go-lispico/internal/goldset
cpu: AMD EPYC 7763 64-Core Processor                
,bench-vm.txt,
,sec/op,CI
Goldset/counter-closure-2,8.507e-06,1%
Goldset/guard-nil-2,5.2055e-06,1%
Goldset/kw-lookup-2,4.8945e-06,1%
Goldset/loop-sum-2,1.4973500000000002e-05,1%
Goldset/merge-config-2,9.493e-06,1%
Goldset/pipeline-2,1.73435e-05,1%
Goldset/queue-promote-2,3.8350500000000005e-05,1%
Goldset/registry-fold-2,1.2003e-05,0%
Goldset/route-decision-2,6.985500000000001e-06,1%
Goldset/rule-load-2,2.22985e-05,1%
Goldset/safe-parse-2,9.268e-06,7%
Goldset/text-render-2,5.558500000000001e-06,1%
Goldset/twice-macro-2,7.0195e-06,0%
GoldsetCall/call-boundary-2,1.8850000000000003e-07,1%
GoldsetParse/counter-closure-2,5.279500000000001e-06,1%
GoldsetParse/guard-nil-2,3.1440000000000003e-06,0%
GoldsetParse/kw-lookup-2,2.9520000000000003e-06,2%
GoldsetParse/loop-sum-2,3.182e-06,1%
GoldsetParse/merge-config-2,5.557500000000001e-06,1%
GoldsetParse/pipeline-2,5.082e-06,1%
GoldsetParse/queue-promote-2,4.946500000000001e-06,1%
GoldsetParse/registry-fold-2,6.352500000000001e-06,3%
GoldsetParse/route-decision-2,4.8235000000000005e-06,1%
GoldsetParse/rule-load-2,1.522e-05,1%
GoldsetParse/safe-parse-2,6.577000000000001e-06,1%
GoldsetParse/text-render-2,3.2060000000000003e-06,1%
GoldsetParse/twice-macro-2,4.151e-06,0%
geomean,6.1848436730086185e-06,

,bench-vm.txt,
,B/op,CI
Goldset/counter-closure-2,1970,0%
Goldset/guard-nil-2,1129,0%
Goldset/kw-lookup-2,1209,0%
Goldset/loop-sum-2,1554,0%
Goldset/merge-config-2,2731.5,0%
Goldset/pipeline-2,2750,0%
Goldset/queue-promote-2,16588.5,0%
Goldset/registry-fold-2,2941,0%
Goldset/route-decision-2,1626,0%
Goldset/rule-load-2,5843.5,0%
Goldset/safe-parse-2,2395,0%
Goldset/text-render-2,1393,0%
Goldset/twice-macro-2,1658,0%
GoldsetCall/call-boundary-2,0,0%
GoldsetParse/counter-closure-2,1584,0%
GoldsetParse/guard-nil-2,768,0%
GoldsetParse/kw-lookup-2,800,0%
GoldsetParse/loop-sum-2,848,0%
GoldsetParse/merge-config-2,1872,0%
GoldsetParse/pipeline-2,1280,0%
GoldsetParse/queue-promote-2,1264,0%
GoldsetParse/registry-fold-2,1904,0%
GoldsetParse/route-decision-2,1280,0%
GoldsetParse/rule-load-2,4896,0%
GoldsetParse/safe-parse-2,1792,0%
GoldsetParse/text-render-2,992,0%
GoldsetParse/twice-macro-2,1168,0%
geomean,,

,bench-vm.txt,
,allocs/op,CI
Goldset/counter-closure-2,58,0%
Goldset/guard-nil-2,32,0%
Goldset/kw-lookup-2,32,0%
Goldset/loop-sum-2,87,0%
Goldset/merge-config-2,60,0%
Goldset/pipeline-2,73,0%
Goldset/queue-promote-2,174,0%
Goldset/registry-fold-2,74,0%
Goldset/route-decision-2,49,0%
Goldset/rule-load-2,166,0%
Goldset/safe-parse-2,72,0%
Goldset/text-render-2,43,0%
Goldset/twice-macro-2,48,0%
GoldsetCall/call-boundary-2,0,0%
GoldsetParse/counter-closure-2,50,0%
GoldsetParse/guard-nil-2,26,0%
GoldsetParse/kw-lookup-2,24,0%
GoldsetParse/loop-sum-2,28,0%
GoldsetParse/merge-config-2,50,0%
GoldsetParse/pipeline-2,37,0%
GoldsetParse/queue-promote-2,40,0%
GoldsetParse/registry-fold-2,53,0%
GoldsetParse/route-decision-2,42,0%
GoldsetParse/rule-load-2,148,0%
GoldsetParse/safe-parse-2,61,0%
GoldsetParse/text-render-2,32,0%
GoldsetParse/twice-macro-2,41,0%
geomean,,

cpu: INTEL(R) XEON(R) PLATINUM 8573C
,bench-evaluator.txt,
,sec/op,CI
Goldset/counter-closure-2,1.2295500000000001e-05,2%
Goldset/guard-nil-2,5.2265e-06,0%
Goldset/kw-lookup-2,6.2435000000000004e-06,0%
Goldset/loop-sum-2,0.0002251765,1%
Goldset/merge-config-2,1.19875e-05,1%
Goldset/pipeline-2,3.1554e-05,1%
Goldset/queue-promote-2,0.00011592850000000001,1%
Goldset/registry-fold-2,1.7546e-05,1%
Goldset/route-decision-2,9.863500000000001e-06,0%
Goldset/rule-load-2,2.35755e-05,1%
Goldset/safe-parse-2,1.6174500000000002e-05,1%
Goldset/text-render-2,7.6345e-06,1%
Goldset/twice-macro-2,8.9615e-06,1%
GoldsetCall/call-boundary-2,9.747499999999999e-07,1%
GoldsetParse/counter-closure-2,5.2595e-06,0%
GoldsetParse/guard-nil-2,3.146e-06,3%
GoldsetParse/kw-lookup-2,2.933e-06,6%
GoldsetParse/loop-sum-2,3.1780000000000003e-06,1%
GoldsetParse/merge-config-2,5.522000000000001e-06,1%
GoldsetParse/pipeline-2,5.068500000000001e-06,0%
GoldsetParse/queue-promote-2,4.9340000000000005e-06,1%
GoldsetParse/registry-fold-2,6.352e-06,0%
GoldsetParse/route-decision-2,4.816000000000001e-06,1%
GoldsetParse/rule-load-2,1.52245e-05,0%
GoldsetParse/safe-parse-2,6.603e-06,1%
GoldsetParse/text-render-2,3.214e-06,1%
GoldsetParse/twice-macro-2,4.1485e-06,1%
geomean,8.564240805398277e-06,

,bench-evaluator.txt,
,B/op,CI
Goldset/counter-closure-2,3657,0%
Goldset/guard-nil-2,1128,0%
Goldset/kw-lookup-2,1544,0%
Goldset/loop-sum-2,17413,0%
Goldset/merge-config-2,3720,0%
Goldset/pipeline-2,11003,0%
Goldset/queue-promote-2,23918.5,0%
Goldset/registry-fold-2,6009,0%
Goldset/route-decision-2,2904,0%
Goldset/rule-load-2,9162.5,0%
Goldset/safe-parse-2,5425,0%
Goldset/text-render-2,2432,0%
Goldset/twice-macro-2,2392,0%
GoldsetCall/call-boundary-2,768,0%
GoldsetParse/counter-closure-2,1584,0%
GoldsetParse/guard-nil-2,768,0%
GoldsetParse/kw-lookup-2,800,0%
GoldsetParse/loop-sum-2,848,0%
GoldsetParse/merge-config-2,1872,0%
GoldsetParse/pipeline-2,1280,0%
GoldsetParse/queue-promote-2,1264,0%
GoldsetParse/registry-fold-2,1904,0%
GoldsetParse/route-decision-2,1280,0%
GoldsetParse/rule-load-2,4896,0%
GoldsetParse/safe-parse-2,1792,0%
GoldsetParse/text-render-2,992,0%
GoldsetParse/twice-macro-2,1168,0%
geomean,2430.9426855858455,

,bench-evaluator.txt,
,allocs/op,CI
Goldset/counter-closure-2,71,0%
Goldset/guard-nil-2,32,0%
Goldset/kw-lookup-2,39,0%
Goldset/loop-sum-2,594,0%
Goldset/merge-config-2,73,0%
Goldset/pipeline-2,152,0%
Goldset/queue-promote-2,387,0%
Goldset/registry-fold-2,113,0%
Goldset/route-decision-2,71,0%
Goldset/rule-load-2,216,0%
Goldset/safe-parse-2,104,0%
Goldset/text-render-2,57,0%
Goldset/twice-macro-2,59,0%
GoldsetCall/call-boundary-2,6,0%
